word,freq,concept_en,concept_ru,domain,lang,form,sim,tier,logo_check
A-DA-KI-SI-KA,1,wall,стена,tech,grc,teichos,1.000,B,
A-DU-KU-MI-NA,1,arrow,стрела,tech,grc,toxeuma,1.000,B,
A-DU-NI-TA-NA,1,weight-talent,талант-вес,tech,grc,talanton,0.800,B,
A-KA-NU-ZA-TI,1,emmer,полба,plantfood,akk,kunashu,1.000,B,"GRA(emmer):0/1 (нуль 0.2, p=1.000)"
A-KI-PI-E-TE,1,wheat,пшеница,plantfood,akk,kibtu,1.000,B,"GRA(wheat):1/1 (нуль 0.1, p=0.141)"
A-KU-MI-NA,1,cumin|winter,тмин|зима,plantfood,akk,kamunu|cheimon,1.000,A,
A-PA-RA-NE,2,oven,печь,tech,lat,furnus,0.750,A,
A-PU2-NA-DU,1,five,пять,measure,grc,pente,1.000,B,
A-RA-TU-ME,1,oar,весло,tech,grc,eretmon,0.750,B,
A-RE-PI-RE-NA,1,plow|purple dye|wolf,плуг|пурпур|волк,tech,grc,arotron|purpura|barbaru?,0.750,B,
A-RU-DA-RA,1,plow|brother,плуг|брат,tech,grc,arotron|phrater,0.750,B,
A-SA-MU-NE,1,eight|olive oil,восемь|оливковое масло,measure,akk,samane|shamnu,1.000,A,"OLE(olive oil):0/1 (нуль 0.1, p=1.000)"
A-SA-SA-RA-ME,1,cypress,кипарис,plantfood,sum,shu-ur-me,0.750,A,
A-SA-SU-MA-I-SE,1,sesame|sun|six,кунжут|солнце|шесть,plantfood,grc,sesamon|shamshu|shishshu?,0.750,B,
A-SI-DA-TO-I,1,year,год,time,akk,shattu,1.000,B,
A-SI-JA-KA,2,fig|yoke|soul-spirit,инжир|ярмо|душа,plantfood,grc,sykon|zygon|psyche,0.750,B,"NI(fig):0/2 (нуль 0.0, p=1.000)"
A-SI-KI-RA,1,beer,пиво,plantfood,akk,shikaru,1.000,B,
A-SI-SU-PO-A,1,milk,молоко,plantfood,akk,shizbu,1.000,B,
A-TU-RI-SI-TI,1,ox/bull|three|omen|summer,бык|три|знамение|лето,animal,grc,tauros|treis|teras|theros,1.000,A,
DA-DU-MA-TA,1,to-give|to-place,давать|класть,action,grc,didomi|tithemi,1.000,B,
DA-DU-MI-NE,1,to-give|to-place,давать|класть,action,grc,didomi|tithemi,1.000,B,
DA-I-PI-TA,2,salt,соль,trade,akk,tabtu,1.000,B,
DA-KU-NA,1,bow,лук-оружие,tech,grc,toxon,1.000,B,
DA-KU-SE-NE,1,wall,стена,tech,grc,teichos,1.000,B,
DA-KU-SE-NE-TI,1,bow|wall|child,лук-оружие|стена|ребёнок,tech,grc,toxon|teichos|teknon,0.750,B,
DA-MA-TE,1,tower|sea,башня|море,tech,akk,dimtu|tamtu,1.000,B,
DA-MI-NU,1,demon-spirit,дух,ritual,grc,daimon,1.000,B,
DA-NA-SI,1,to-die,умирать,action,grc,thnesko,0.750,B,
DA-NE-KU-TI,1,to-die,умирать,action,grc,thnesko,0.750,B,
DA-QE-RA,2,merchant,торговец,social,akk,tamkaru,0.750,B,
DA-RU-NE-TE,1,gift,дар,social,grc,doron,1.000,B,
DA-SE-RA-TE,1,olive,олива,trade,akk,serdu,0.750,B,"OLIV(olive):0/1 (нуль 0.0, p=1.000)"
DA-TA-RA,1,bridge,мост,tech,akk,titurru,0.750,B,
DA-TA-RE,1,bridge,мост,tech,akk,titurru,0.750,B,
DI-DE-RU,3,bridge,мост,tech,akk,titurru,0.750,B,
DI-DI-KA-SE,1,wheel|wall|mummy-embalm,колесо|стена|бальзамировать,tech,grc,trochos|teichos|tarichos?,0.750,B,
DI-DI-ZA-KE,1,to-die|tablet,умирать|табличка,action,grc,thnesko|deltos,0.750,B,
DI-KI-SE,2,wall,стена,tech,grc,teichos,1.000,B,
DI-NA-RO,1,oven,печь,tech,akk,tinuru,1.000,A,
DI-RE-DI-NA,1,rose|gift,роза|дар,plantfood,grc,wrodon|doron,0.750,B,
DI-RI-NA,2,gift,дар,social,grc,doron,1.000,B,
DU-DA-MA,1,to-give|to-place,давать|класть,action,grc,didomi|tithemi,1.000,B,
DU-MA-I-NA,1,demon-spirit,дух,ritual,grc,daimon,1.000,B,
DU-ME-DI,1,tower|sea,башня|море,tech,akk,dimtu|tamtu,1.000,B,
DU-MI-TA-TI-RA2,1,barley|fig|tower|widow,ячмень|инжир|башня|вдова,plantfood,akk,uttatu|tittu|dimtu|almattu,0.750,B,"GRA(barley):0/1 (нуль 0.1, p=1.000)"
DU-PA3-NA,1,cumin,тмин,plantfood,egy,tpnn?,0.750,A,
DU-RA-RE,1,bridge,мост,tech,akk,titurru,0.750,B,
DU-RE-ZA-SE,2,ox/bull|three|omen|summer,бык|три|знамение|лето,animal,grc,tauros|treis|teras|theros,1.000,A,
I-DA-MA-TE,1,tower|sea,башня|море,tech,akk,dimtu|tamtu,1.000,B,
I-DA-PA3-I-SA-RI,1,tomb,гробница,tech,grc,taphos,1.000,B,
I-DU-NE-SI,1,to-die,умирать,action,grc,thnesko,0.750,B,
I-KU-RI-NA,1,wine|grape|spring-water,вино|виноград|источник,trade,akk,karanu|karanu?|krene,1.000,B,"VIN(wine):0/1 (нуль 0.1, p=1.000)"
I-NA-JA-PA-QA,1,night,ночь,time,grc,nyx,0.750,B,
I-PA-SA-JA,1,soul-spirit,душа,ritual,grc,psyche,0.750,B,
I-PI-NA-MI-NA,1,plow,плуг,tech,akk,epinnu,0.750,B,
I-SA-RI-KE,1,to-dedicate,посвящать,action,akk,sharaqu?,1.000,B,
I-TI-NI-SA,1,to-die,умирать,action,grc,thnesko,0.750,B,
I-TI-TI-KU-NI,1,bow,лук-оружие,tech,grc,toxon,0.750,B,
I-ZU-RI-NI-TA,1,cat,кот,animal,akk,shuranu,1.000,B,
JA-DU-RA-TI,1,water,вода,ritual,grc,hydor,0.750,B,
JA-KI-SI-KI-NU,1,to-place,класть,action,akk,shakanu,0.750,B,
JA-MI-DA-RE,1,mother,мать,kinship,grc,meter,1.000,B,
JA-PA-RA-JA-SE,1,grape,виноград,plantfood,grc,botrys,0.800,B,
JA-SA-RA-A-NA-NE,1,cypress|ivory|cat|feast,кипарис|слоновая кость|кот|пир,plantfood,akk,shurmenu|shinnu|shuranu|isinnu,0.750,A,
JA-SA-SA-RA-MA-NA,1,cypress|sesame,кипарис|кунжут,plantfood,akk,shurmenu|sesamon,0.800,A,
JA-SA-SA-RA-ME,7,cypress,кипарис,plantfood,sum,shu-ur-me,0.750,A,
KA-DU-MA-NE,1,to-build,строить,action,grc,oikodomeo,1.000,B,
KA-KU-NE-TE,1,letter-missive|head,письмо|голова,tech,heb,iggeret|qaqqadu,0.750,A,
KA-KU-PA,3,star,звезда,ritual,akk,kakkabu,0.750,B,
KA-NA-NI-TI,1,basket,корзина,vessel,grc,kaneon,1.000,B,
KA-PO-RU,1,tomb|village,гробница|деревня,tech,akk,qubru|kapru?,1.000,B,
KA-RE-RO,1,temple,храм,social,akk,ekurru,1.000,B,
KA-RO-NA,1,wine|grape|spring-water,вино|виноград|источник,trade,akk,karanu|karanu?|krene,1.000,B,"VIN(wine):0/1 (нуль 0.1, p=1.000)"
KA-SI-A-TE,1,bow|gift|forest,лук-оружие|дар|лес,tech,akk,qashtu|qishtu?|qishtu,1.000,B,
KA-U-DE-TA,1,cat,кот,animal,grc,katta?,1.000,B,
KE-KI-RU,1,letter-missive,письмо,tech,heb,iggeret,0.750,A,
KE-SI-TE,1,bow|gift|forest,лук-оружие|дар|лес,tech,akk,qashtu|qishtu?|qishtu,1.000,B,
KI-DA-RO,1,cedar|enemy,кедр|враг,plantfood,grc,kedros|echthros,0.750,A,
KI-DA-TA,1,cat,кот,animal,grc,katta?,1.000,B,
KI-DI-NI,1,jug|earth,кувшин|земля,vessel,grc,kothon|chthon,1.000,B,
KI-KI-RA-JA,1,letter-missive,письмо,tech,heb,iggeret,0.750,A,
KI-NI-MA,1,cumin,тмин,plantfood,lat,cuminum,0.750,A,
KI-RE-TA-NA,3,letter-missive|heart|barley,письмо|сердце|ячмень,tech,akk,egertu?|kardia|krithe,1.000,A,"GRA(barley):2/3 (нуль 0.4, p=0.044)"
KI-RE-TA2,2,letter-missive|heart|barley,письмо|сердце|ячмень,tech,akk,egertu?|kardia|krithe,1.000,A,"GRA(barley):1/2 (нуль 0.3, p=0.241)"
KI-RE-ZA,1,pig|meat|field,свинья|мясо|поле,animal,grc,choiros|kreas|agros,1.000,B,
KI-RI-SI,1,pig|meat|field,свинья|мясо|поле,animal,grc,choiros|kreas|agros,1.000,B,
KI-RI-TA2,2,letter-missive|heart|barley,письмо|сердце|ячмень,tech,akk,egertu?|kardia|krithe,1.000,A,"GRA(barley):2/2 (нуль 0.3, p=0.014)"
KI-TA-NI-TE,1,jug|earth,кувшин|земля,vessel,grc,kothon|chthon,1.000,B,
KO-SA-I-TI,1,bow|gift|forest,лук-оружие|дар|лес,tech,akk,qashtu|qishtu?|qishtu,1.000,B,
KU-KU-DA-RA,1,letter-missive|head,письмо|голова,tech,heb,iggeret|qaqqadu,0.750,A,
KU-MI-NA-QE,1,cumin|winter,тмин|зима,plantfood,akk,kamunu|cheimon,1.000,A,
KU-NI-SU,5,emmer,полба,plantfood,akk,kunashu,1.000,B,"GRA(emmer):3/5 (нуль 0.7, p=0.021)"
KU-PA-JA,1,bridge,мост,tech,grc,gephyra,0.750,B,
KU-PA-RI,1,tomb|village,гробница|деревня,tech,akk,qubru|kapru?,1.000,B,
KU-PA-ZU,1,sword|garden,меч|сад,tech,grc,xiphos|kepos,1.000,B,
KU-PA3-NA-TU,2,wheat|libation|peace-treaty|liver,пшеница|возлияние|мир-договор|печень,plantfood,akk,kibtu|sponde|spondai|kabattu,0.750,B,"GRA(wheat):0/2 (нуль 0.3, p=1.000)"
KU-PA3-RI-JA,1,tomb|village,гробница|деревня,tech,akk,qubru|kapru?,1.000,B,
KU-RA-MU,1,vineyard,виноградник,geo,akk,karmu?,1.000,B,
KU-RE-JU,1,helmet,шлем,tech,grc,korys,0.750,B,
KU-RU-MA,1,vineyard,виноградник,geo,akk,karmu?,1.000,B,
MA-KA-I-SE,1,bowl|mercenary-soldier,миска|воин,vessel,akk,makkasu?|machetes?,0.750,B,
MA-KA-I-TA,2,mercenary-soldier,воин,social,grc,machetes?,0.750,B,
MA-KA-RI-TE,2,knife,нож,tech,grc,machaira,1.000,B,
MA-KI-DE-TE,1,mercenary-soldier|cat|measure-unit,воин|кот|мера,social,grc,machetes?|katta?|mindatu?,0.750,B,
MA-RI-RE-I,1,myrrh,мирра,trade,akk,murru,1.000,B,
MA-TE-TI,1,measure-unit|widow,мера|вдова,tech,akk,mindatu?|almattu,0.750,B,
MA-TI-ZA-I-TE,1,mercenary-soldier,воин,social,grc,machetes?,0.750,B,
ME-KI-DI,1,mercenary-soldier,воин,social,grc,machetes?,0.750,B,
MI-DA-MA-RA2,1,sheep|mother|wife,овца|мать|жена,animal,akk,immeru|meter|damar,0.750,B,
MI-DA-NI,1,measure-unit,мера,tech,grc,metron,0.750,B,
MI-DA-RA,1,mother,мать,kinship,grc,meter,1.000,B,
MI-KI-SE-NA,1,bowl|mercenary-soldier,миска|воин,vessel,akk,makkasu?|machetes?,0.750,B,
MI-NU-TE,4,mint,мята,plantfood,grc,minthe,1.000,B,
MI-RU-TA-RA-RE,1,myrrh|mother|daughter|brother,мирра|мать|дочь|брат,trade,akk,murru|meter|martu|phrater,0.750,B,
MI-ZA-SE,1,bee,пчела,animal,grc,melissa,0.750,B,
O-KA-MI-ZA-SI-I-NA,1,winter,зима,time,akk,kussu?,0.750,B,
O-RA2-DI-NE,1,rose|oar|plow,роза|весло|плуг,plantfood,grc,rhodon|eretmon|arotron,0.750,B,
O-SU-QA-RE,1,beer,пиво,plantfood,akk,shikaru,1.000,B,
O-TA-NI-ZA-SE,1,queen|island|sea|to-die,царица|остров|море|умирать,social,grc,wanassa|nesos|thalassa|thnesko,0.750,B,
PA-DA-RU,1,father|knife,отец|нож,kinship,grc,pater|patru,1.000,A,
PA-DA-SU-TI,1,jar,сосуд-пифос,vessel,grc,pithos,1.000,B,
PA-JA-RE,4,fire-ritual,огонь,ritual,grc,pyr,1.000,B,
PA-NU-QE,1,tablet,табличка,tech,grc,pinax,1.000,B,
PA-RA-NE,2,oven,печь,tech,lat,furnus,0.750,A,
PA-RO-SU,1,cypress|tribute-tax,кипарис|дань,plantfood,heb,berosh|phoros,1.000,A,
PA-SE-JA,2,soul-spirit,душа,ritual,grc,psyche,0.750,B,
PA3-KA-RA-TI,1,to-sell,продавать,action,akk,paqaru?,1.000,B,
PA3-NI-NA,2,plow,плуг,tech,akk,epinnu,1.000,B,
PI-KU-ZU,1,jug,кувшин,vessel,grc,prochoos,0.750,B,
PI-MI-TA-TI-RA2,1,widow,вдова,kinship,akk,almattu,0.750,B,
PI-TA-KA-SE,1,jug|jar|wall|river,кувшин|сосуд-пифос|стена|река,vessel,grc,prochoos|pithos|teichos|potamos,0.750,B,
PI-TA-KE-SI,1,jug|jar|wall|river,кувшин|сосуд-пифос|стена|река,vessel,grc,prochoos|pithos|teichos|potamos,0.750,B,
PI-TA-RA,1,father|knife,отец|нож,kinship,grc,pater|patru,1.000,A,
PI-TE-RI,1,father|knife,отец|нож,kinship,grc,pater|patru,1.000,A,
PO-TO-KU-RO,2,father|knife|to-sell,отец|нож|продавать,kinship,grc,pater|patru|paqaru?,0.750,A,
QA-KU-RE,1,letter-missive,письмо,tech,heb,iggeret,0.750,A,
QA-NU-MA,2,cumin,тмин,plantfood,lat,cuminum,0.750,A,
QA-QA-DA,1,letter-missive|head,письмо|голова,tech,heb,iggeret|qaqqadu,0.750,A,
QA-QA-RU,3,letter-missive,письмо,tech,heb,iggeret,0.750,A,
QA-RE-TO,1,letter-missive|heart|barley,письмо|сердце|ячмень,tech,akk,egertu?|kardia|krithe,1.000,A,"GRA(barley):0/1 (нуль 0.1, p=1.000)"
QA-SA-RA-KU,1,to-dedicate,посвящать,action,akk,sharaqu?,0.750,B,
QA-TI-DA-TE,1,cat,кот,animal,grc,katta?,1.000,B,
QA-TI-JU,1,fish,рыба,animal,grc,ichthys,0.750,B,
QE-DE-MI-NU,2,to-build,строить,action,grc,oikodomeo,1.000,B,
QE-KU-RE,1,letter-missive,письмо,tech,heb,iggeret,0.750,A,
QE-PI-TA,1,wheat,пшеница,plantfood,akk,kibtu,1.000,B,"GRA(wheat):0/1 (нуль 0.1, p=1.000)"
QE-SI-TE,1,bow|gift|forest,лук-оружие|дар|лес,tech,akk,qashtu|qishtu?|qishtu,1.000,B,
QE-SI-ZU-E,2,winter,зима,time,akk,kussu?,1.000,B,
QE-SU-PU,1,silver,серебро,trade,akk,kaspu,1.000,B,
QE-TI-RA-DU,1,cedar|enemy|letter-missive|heart,кедр|враг|письмо|сердце,plantfood,grc,kedros|echthros|egertu?|kardia,0.750,A,
QE-TU-NE,1,jug|earth,кувшин|земля,vessel,grc,kothon|chthon,1.000,B,
RA-NA-TU-SU,1,bird|bread|sky-heaven|year,птица|хлеб|небо|год,animal,grc,ornis|artos|ouranos|eniautos,0.750,B,
RA-TI-SE,1,bread,хлеб,plantfood,grc,artos,1.000,B,
RE-DI-SE,1,bread,хлеб,plantfood,grc,artos,1.000,B,
RI-KA-TA,1,bear,медведь,animal,grc,arktos,0.750,B,
RI-TA-MA-NU-WI,1,oar,весло,tech,grc,eretmon,1.000,B,
RU-MA-TA-SE,1,bread|bear,хлеб|медведь,plantfood,grc,artos|arktos,0.750,B,
SA-MI-DA-E,1,bone,кость,body,akk,etsemtu,1.000,B,
SA-QE-RI,1,beer,пиво,plantfood,akk,shikaru,1.000,B,
SA-RA-RA,1,king|child,царь|ребёнок,social,akk,sharru|sherru?,1.000,B,
SA-SA-ME,1,sesame,кунжут,plantfood,grc,sesamon,0.750,B,
SA-SA-RA-ME,1,cypress,кипарис,plantfood,sum,shu-ur-me,0.750,A,
SE-KU-TU,1,nut-almond,миндаль,plantfood,akk,shiqdu?,1.000,A,
SE-SA-PA3,1,milk,молоко,plantfood,akk,shizbu,1.000,B,
SE-TO-I-JA,1,city,город,social,grc,asty,1.000,B,
SI-DA-RE,2,star|to-write,звезда|писать,ritual,grc,aster|shataru,1.000,B,
SI-DA-RO,1,star|to-write,звезда|писать,ritual,grc,aster|shataru,1.000,B,
SI-DA-TE,1,year,год,time,akk,shattu,1.000,B,
SI-DI-JA,1,city,город,social,grc,asty,1.000,B,
SI-KI-NE,1,to-place,класть,action,akk,shakanu,1.000,B,
SI-KI-RA,1,beer,пиво,plantfood,akk,shikaru,1.000,B,
SI-MI-TA,1,bone,кость,body,akk,etsemtu,1.000,B,
SI-RU-MA-RI-TA2,1,queen,царица,social,akk,sharratu,0.800,B,
SI-RU-TE,4,olive,олива,trade,akk,serdu,1.000,B,"OLIV(olive):0/4 (нуль 0.1, p=1.000)"
SI-TE-TU,1,year,год,time,akk,shattu,1.000,B,
SU-KI-RI-TA,1,beer,пиво,plantfood,akk,shikaru,1.000,B,
SU-KI-RI-TE-I-JA,1,garlic,чеснок,plantfood,grc,skorodon,0.800,A,
TA-NI-KA,2,to-die,умирать,action,grc,thnesko,0.750,B,
TA-NU-NI-KI-NA,1,oven|tin|to-die,печь|олово|умирать,tech,heb,tannur|annaku|thnesko,0.750,A,
TA-RI-NA,1,gift,дар,social,grc,doron,1.000,B,
TA-SA-ZA,1,sea,море,geo,grc,thalassa,0.750,B,
TA-TE-I-KE-ZA-RE,1,wheel|wall|mummy-embalm,колесо|стена|бальзамировать,tech,grc,trochos|teichos|tarichos?,0.750,B,
TA2-TA-RE,1,bridge,мост,tech,akk,titurru,0.750,B,
TA2-TI-TE,1,barley|fig,ячмень|инжир,plantfood,akk,uttatu|tittu,1.000,B,"GRA(barley):0/1 (нуль 0.1, p=1.000)"
TE-JA-RE,1,door,дверь,tech,grc,thyra,1.000,B,
TI-DA-TA,1,barley|fig,ячмень|инжир,plantfood,akk,uttatu|tittu,1.000,B,"GRA(barley):0/1 (нуль 0.1, p=1.000)"
TI-DI-TE-QA-TI,1,barley|fig,ячмень|инжир,plantfood,akk,uttatu|tittu,0.750,B,"GRA(barley):0/1 (нуль 0.1, p=1.000)"
TI-MA-RU-WI-TE,1,wife,жена,kinship,grc,damar,0.750,B,
TI-TI-MA,1,to-give|to-place,давать|класть,action,grc,didomi|tithemi,1.000,B,
TO-PA3-DI,1,salt,соль,trade,akk,tabtu,1.000,B,
TU-JU-MA,1,soul-spirit,душа,ritual,grc,thymos,0.750,B,
TU-MI-TI-ZA-SE,1,house|tower|tablet|law,дом|башня|табличка|закон,tech,grc,domos|dimtu|deltos|themis,0.750,A,
TU-PA-DI-DA,1,salt,соль,trade,akk,tabtu,1.000,B,
TU-PI-TA,1,salt,соль,trade,akk,tabtu,1.000,B,
TU-RU-NU-SE-ME,1,ox/bull|oven|three|bird,бык|печь|три|птица,animal,grc,tauros|furnus|treis|ornis,0.750,A,
TU-RU-SA,1,ox/bull|three|omen|summer,бык|три|знамение|лето,animal,grc,tauros|treis|teras|theros,1.000,A,
TU-SU-PU2,1,honey,мёд,trade,akk,dishpu,1.000,B,
U-KA-RE-A-SE-SI-NA,1,gold,золото,trade,grc,chrysos,0.800,B,
U-MI-NA-SI,2,mule,мул,animal,grc,hemionos,0.750,B,
U-NA-KA-NA-SI,2,emmer|spear,полба|копьё,plantfood,akk,kunashu|enchos,0.750,B,"GRA(emmer):0/2 (нуль 0.3, p=1.000)"
U-NA-RU-KA-NA-TI,1,chariot,колесница,tech,akk,narkabtu,0.800,B,
WA-DI-NI,2,rose,роза,plantfood,grc,wrodon,0.750,B,
WA-DU-NI-MI,2,rose,роза,plantfood,grc,wrodon,0.750,B,
WA-PI-TI-NA-RA2,1,rose,роза,plantfood,grc,wrodon,0.750,B,
WA-TU-MA-RE,1,wife,жена,kinship,grc,damar,0.750,B,
WI-DI-NA,1,rose,роза,plantfood,grc,wrodon,0.750,B,
WI-SA-SA-NE,1,queen,царица,social,grc,wanassa,0.750,B,
ZU-DI-RA,2,star|to-write,звезда|писать,ritual,grc,aster|shataru,1.000,B,
ZU-RI-NI-MA,1,cat,кот,animal,akk,shuranu,1.000,B,
