word	count	series	sites
pa-ro	244	KN Ai,KN C,KN Dk,KN Ga,KN L,KN Ld,KN X,PY Cc,PY Cn,PY Ea,PY Eb,PY Eo,PY Ep,PY Fr,PY Mb,PY Mn,PY Pa,PY Un,PY Vn,PY Xa,TH Av,TH Wu	KN,PY,TH
pe-mo	167	PY Eb,PY Ed,PY En,PY Eo,PY Ep,PY Eq,PY Es	PY
e-ke	165	KN Ap,KN Dl,KN Uf,KN Xd,PY Ea,PY En,PY Ep,PY Eq,PY Er,PY Es,PY Fr,PY Jn,PY Mb,PY Na,PY Xn	KN,PY
o-na-to	160	PY Ea,PY Eb,PY En,PY Eo,PY Ep,PY Eq	PY
to-so-de	136	PY Eb,PY Ed,PY En,PY Eo,PY Ep,PY Eq,PY Er,PY Es,PY Jn,PY Un	PY
ko-to-na	128	PY Aq,PY Ea,PY Eb,PY En,PY Eo,PY Ep	PY
ko-wo	126	KN Ag,KN Ai,KN Ak,KN Am,KN Ap,KN Bg,PY Aa,PY Ab,PY Ad,PY Ae,PY An,PY Un,PY Xa	KN,PY
to-so	105	KH Ar,KN Am,KN As,KN B,KN Bg,KN C,KN E,KN F,KN Fh,KN Fp,KN Gg,KN Nc,KN Od,KN Og,KN Pp,KN V,KN X,MY Au,MY Fo,MY Ue,PY An,PY Eb,PY Ed,PY En,PY Ep,PY Eq,PY Er,PY Fr,PY Un,TH Ug	KH,KN,MY,PY,TH
ko-wa	102	KN Ag,KN Ai,KN Ak,KN Ap,KN X,PY Aa,PY Ab,TH Fq	KN,PY,TH
e-ke-qe	88	PY Eb,PY Eo,PY Ep,PY Va	PY
te-o-jo	84	PY Eb,PY Ed,PY En,PY Eo,PY Ep	PY
do-e-ro	78	KN Ai,KN B,KN C,KN Xe,PY Ae,PY An,PY Cn,PY Eb,PY Ed,PY En,PY Eo,PY Ep,PY Es,PY Jn	KN,PY
da-mo	75	KN As,KN C,KN Ce,KN F,PY Ea,PY Eb,PY Ep,PY Un,TH Ft,TH Gp	KN,PY,TH
ke-ke-me-na	73	KN Uf,PY Ea,PY Eb,PY Ep	KN,PY
ku-ta-to	65	KN Da,KN Db,KN Dc,KN Dd,KN De,KN Df,KN Dk,KN Dl,KN Dm,KN Dq,KN Dv,KN Ga,KN Mc,KN Uf,KN X,KN Xd	KN
ka-ke-we	60	KN Fh,PY Jn,PY Ma,PY Na,PY Xn	KN,PY
do-e-ra	55	KN Ai,KN Ap,KN Gg,PY Ae,PY An,PY Eb,PY Ed,PY En,PY Eo,PY Ep	KN,PY
do-so-mo	55	PY Es,PY Un	PY
o-da-a2	53	PY An,PY Aq,PY Ed,PY En,PY Eq,PY Ma,PY Un	PY
o-pe-ro	47	KN Ga,KN Gg,KN L,KN So,KN X,PY Ac,PY Cn,PY Eb,PY Fn,PY Ma,PY Nn,PY Ub,PY Xa	KN,PY
pa-i-to	46	KN Da,KN Db,KN Dd,KN De,KN Dg,KN Dm,KN Dn,KN Dq,KN Dv,KN E,KN F,KN Ga,KN L,KN Od,KN Pp,KN Sd,KN So,KN X,KN Xf	KN
da-wo	38	KN Ak,KN Ce,KN D,KN Da,KN Db,KN Dc,KN Dd,KN De,KN Dl,KN Dn,KN Dv,KN F,KN Ln,KN Np,KN V,KN X	KN
da-*22-to	38	KN Ak,KN As,KN C,KN Ce,KN Da,KN Db,KN Dc,KN Dd,KN De,KN Dk,KN Dn,KN Dq,KN Dv,KN F,KN Ga,KN Mc,KN Uf,KN X,KN Xd	KN
e-ko-so	36	KN C,KN Da,KN Db,KN Dc,KN Dd,KN De,KN Dh,KN Dk,KN Dl,KN Dm,KN Dn,KN Dq,KN Dv,KN F,KN L,KN Le,KN Uf	KN
wo-ka	36	PY Sa	PY
o-pi	35	KN As,KN Fh,KN L,KN Le,KN Ln,KN Mc,KN Od,KN Sd,KN Uf,KN V,KN Ws,KN X,KN Xd,KN Xe,KN Xf,PY Ae	KN,PY
me-zo-e	34	KN Ai,KN Ak,KN Gg,KN L,PY Ta	KN,PY
we-da-ne-wo	34	PY An,PY Cn,PY Es,PY Na,PY Un	PY
to-sa	33	KN Ap,KN C,KN Dp,KN Ga,KN L,KN Lc,KN Ld,KN Ln,KN Mc,KN Od,KN Ra,KN X,PY En,PY Er,PY Na,PY Sa,PY Xn	KN,PY
ko-re-te	33	KN C,KN V,PY Aq,PY Jn,PY Jo,PY Nn,PY On	KN,PY
a-ja-me-no	32	KN Sd,PY Ta	KN,PY
we-je-ke-e	32	PY Sa	PY
qa-ra	31	KN Da,KN Db,KN De,KN Dl,KN Dn,KN Dv,KN L,KN Pp,KN Uf,KN V,KN X	KN
ru-ki-to	30	KN Da,KN Db,KN Dc,KN Dd,KN De,KN Df,KN Dg,KN Dm,KN Dn,KN Dv,KN Fh,KN V,KN X	KN
e-ra	29	KN Ai,KN Ak,KN D,KN Da,KN Db,KN Dc,KN Dd,KN De,KN Dl,KN Dq,KN Dv,KN F,KN Pp,KN X,KN Xd,KN Xe,MY Z,PY Tn,PY Xa,TH Of	KN,MY,PY,TH
pu-ro	29	PY Aa,PY Ab,PY Ad,PY Ae,PY An,PY Cn,PY Tn,PY Un,PY Va	PY
o-u-di-do-si	29	PY Ma,PY Na	PY
do-ti-ja	28	KN Ap,KN C,KN Ce,KN Da,KN Db,KN Dc,KN Dd,KN De,KN Df,KN Dm,KN Dn,KN Dv,KN E,KN L,KN Le,KN Xe	KN
ti-ri-to	28	KN Da,KN Db,KN De,KN Df,KN Dg,KN Dh,KN Dq,KN Dv,KN L,KN Pp,KN Uf,KN V,KN X	KN
o-pa	26	KN Am,KN Ce,KN Dm,KN E,KN L,KN Sd,KN Sf,KN So,KN Ws,PY Sh,PY Wr,TH Wu	KN,PY,TH
a-pu-do-si	25	KN Bg,KN Fh,KN Ga,KN L,KN Le,KN X,PY Ma,PY Wr	KN,PY
ra-to	25	KN Da,KN Db,KN Dd,KN Df,KN Dm,KN Dn,KN Dv,KN Xd	KN
wo-wo	25	KN Dc,KN Dk,PY Cn,PY Eb,PY Na	KN,PY
pa-we-a	25	KN L,KN Lc,KN Ld	KN
ki-ti-me-na	25	PY Ea,PY En,PY Eo	PY
ri-jo-no	24	KN Ap,KN C,KN Da,KN Db,KN Dd,KN Df,KN Dl,KN Dm,KN Dn,KN Dv	KN
ka-ko	24	PY Jn,PY Sa	PY
ta-ra-nu	23	KN V,PY Ta	KN,PY
a-ke-o-jo	23	KN X,PY Cn	KN,PY
ma-ro-pi	23	PY Cn	PY
to-sa-de	23	PY Er,PY Na,PY Ng,PY Vn	PY
ra-su-to	22	KN Ai,KN As,KN Da,KN Db,KN Dk,KN Dl,KN Dm,KN Dn,KN Dv,KN X	KN
tu-ni-ja	22	KN Ak,KN Ap,KN D,KN Da,KN Db,KN Dd,KN Df,KN Dv,KN Lc,KN Le,KN X,KN Xd	KN
su-ri-mo	22	KN Am,KN Da,KN Db,KN Dd,KN De,KN Dg,KN Dl,KN Dv,KN Od,KN Pp	KN
me-no	22	KN B,KN Fh,KN Fp,KN Ga,KN Gg,KN K,KN M,KN Wb,KN X,PY Fr,PY Jn	KN,PY
u-ta-jo	22	KN Da,KN Db,KN Dc,KN Dd,KN De,KN Dv,KN V	KN
we-we-si-jo	22	KN Da,KN Db,KN Dd,KN De,KN Dg,KN Dv,KN L,KN Le,KN X,PY Jn	KN,PY
*56-ko-we	21	KN Ap,KN C,KN Da,KN Db,KN Dc,KN Dd,KN Df,KN Dv,KN Le	KN
ta-ra-si-ja	21	KN Lc,KN So,PY Jn	KN,PY
to-pe-za	21	KN V,PY Ta	KN,PY
pa-ra-jo	21	PY Cn,PY Na,PY Sh	PY
u-ta-jo-jo	20	KN Da,KN Db,KN Dc,KN Dd,KN De,KN Dv	KN
e-ko-si	20	KN G,PY Ed,PY En,PY Ep,PY Jn,PY Na	KN,PY
we-we-si-jo-jo	19	KN Ak,KN Da,KN Db,KN Dc,KN Dd,KN De,KN Dv,KN Od,KN X	KN
e-ko-te	19	KN B,PY Aq,PY Ed,PY Jn	KN,PY
me-ta-pa	18	PY Aa,PY Ac,PY An,PY Aq,PY Cc,PY Cn,PY Jn,PY Ma,PY Vn	PY
ke-ro-si-ja	18	PY An	PY
ku-do-ni-ja	17	KN C,KN Ce,KN Co,KN Fh,KN G,KN Lc,KN Sd,KN Wb,KN X	KN
po-ro-ko-re-te	17	KN V,PY Jn,PY Jo	KN,PY
ko-to-no-o-ko	17	PY Eb,PY Eo,PY Ep	PY
ra-ja	16	KN C,KN Da,KN Db,KN Dc,KN Dd,KN De,KN Dl,KN Dn,KN Dv	KN
da-mi-ni-jo	16	KN Da,KN Dc,KN Df,KN Dk,KN Dq,KN Dv,KN V,PY An	KN,PY
a-ko-ra	16	KN Dk,PY Cn,TH Wu	KN,PY,TH
ku-pi-ri-jo	16	KN Fh,KN Fp,KN Ga,KN Gg,KN K,KN X,PY Cn,PY Un	KN,PY
tu-na-no	16	KN Lc,KN Ln,KN Wb	KN
pa-ka-na	16	KN Ra	KN
o-u-qe	16	KN Sd,PY Aq,PY Eb,PY Ep,PY Va	KN,PY
e-re-pa-te-jo	16	KN Sd,PY Ta	KN,PY
u-ta-no	15	KN Db,KN Dd,KN Dh,KN Dn,KN Dq,KN Dv,KN Pp,KN X,KN Xd	KN
pa-si-te-o-i	15	KN Fp,KN Ga,KN Gg	KN
i-je-re-ja	15	KN Fp,PY Ae,PY Eb,PY Ed,PY Eo,PY Ep,PY Qa,PY Un	KN,PY
a-si-ja-ti-ja	15	PY Ae,PY Cn,PY Jn,PY On,PY Xa	PY
ko-ri-ja-do-no	14	KN Ga	KN
po-ti-ni-ja	14	KN Gg,KN M,KN X,PY Cc,PY Fr,PY Tn,PY Un,TH Of	KN,PY,TH
a-ja-me-na	14	KN Sd,KN Sf,PY Ta	KN,PY
i-qi-ja	14	KN Sd,KN Sf,TH V	KN,TH
pi-*82	14	PY Ac,PY An,PY Cn,PY Jn,PY Jo,PY Ma,PY Na,PY Vn	PY
di-wi-je-we	14	PY Cn,PY Es	PY
a-pi-qo-to	14	PY Ta	PY
me-wi-jo-e	13	KN Ai,KN Ak,KN K	KN
we-ka-ta	13	KN Ce	KN
a-ka	13	KN D,KN Da,KN Dn,KN V	KN
ko-no	13	KN Fp,KN Ga,KN Ra,KN X,KN Xd,PY Eq	KN,PY
di-pa	13	KN K,PY Ta	KN,PY
po-se-da-o-ne	13	PY Es,PY Fr,PY Un	PY
a-ta-ra-si-jo	13	PY Jn	PY
a-mi-ni-so	12	KN Ai,KN Ak,KN As,KN Fp,KN Gg,KN Lc,KN M,KN V	KN
me-wi-jo	12	KN Ak,PY Cn,PY Ta	KN,PY
te-re-ta	12	KN Am,KN B,KN Uf,KN X,PY Eb,PY Ed,PY En,PY Eo,PY Eq,PY Er	KN,PY
ri-jo	12	KN B,KN Df,KN E,KN Le,PY An,PY Cn,PY Ma,PY Na,PY Xn	KN,PY
po-ni-ki-jo	12	KN Bg,KN Ga	KN
o-no	12	KN Ca,KN Fh,KN L,KN M,PY An,PY Un	KN,PY
e-ka-ra-e-we	12	KN Dm	KN
ne-wa	12	KN Dp,KN So,KN X,PY Sa,PY Ub,PY Xa,PY Xn,TH Of	KN,PY,TH
me-na	12	KN E,KN Fs,KN Gg,KN Ra,KN Sd,KN Uf,PY Eb,PY Eo,PY Ep	KN,PY
pa-ra-ja	12	KN Ln,KN Se,KN U,PY Sa,TH Of	KN,PY,TH
o-po-qo	12	KN Sd,KN Sf	KN
*34-ke-te-si	12	PY Es	PY
no-pe-re-a2	12	PY Sa	PY
qe-ra-na	12	PY Ta	PY
se-to-i-ja	11	KN As,KN Da,KN Do,KN Dq,KN Lc,KN Le,KN Mc,KN Sd,KN X	KN
pu-so	11	KN As,KN Da,KN Dc,KN Dv,KN X	KN
ki-ri-jo-te	11	KN Da,KN Db,KN Dc,KN Dd,KN Df,KN Dv	KN
pe-ma	11	KN E,KN Ga,KN X,PY Er	KN,PY
ka-ma	11	KN F,KN L,KN Xf,PY Ea,PY Eb,PY Ep	KN,PY
e-qe-si-ja	11	KN L,KN Ld,PY Sa,PY Wa	KN,PY
a-mo-ta	11	KN So,PY Sa	KN,PY
ro-u-so	11	PY Aa,PY Ab,PY Cn,PY Jn,PY Ma,PY Mb,PY Mn,PY Un	PY
a-ke-re-wa	11	PY Ac,PY An,PY Cn,PY Eq,PY Jn,PY Jo,PY Ma	PY
we-te-i-we-te-i	11	PY Es	PY
pa-ko-we	11	PY Fr	PY
me-zo-a2	11	PY Sh	PY
me-u-jo-a2	11	PY Sh	PY
tu-ri-so	10	KN Ce,KN Da,KN Db,KN Dd,KN Dh,KN X	KN
me-zo	10	KN Ak,KN Lc	KN
du-ni-jo	10	KN As,KN Ga,KN Xd,PY Ae,PY Ea,PY Eb,PY Ep,PY Fn,PY Un	KN,PY
po-ku-ta	10	KN B,KN C,KN L,PY An	KN,PY
ru-ki-ti-jo	10	KN C,KN E,KN Ga,KN Og,KN Xd	KN
ka-pa	10	KN E,PY Un,TH Ft	KN,PY,TH
ra-wa-ke-si-jo	10	KN E,PY Ea,PY Er,PY Na	KN,PY
pe-re	10	KN Od,PY Cc,PY Tn,PY Ub,PY Un,TH Oh	KN,PY,TH
a-ra-ru-wo-a	10	KN Ra	KN
a-ra-ro-mo-te-me-na	10	KN Sd	KN
wa-na-ka-te-ro	10	KN X,PY En,PY Eo,PY Er	KN,PY
pe-ru-si-nu-wo	10	PY Ma	PY
ko-no-so	9	KN Ak,KN Fh,KN Lc,KN Le,KN X,KN Xe	KN
pa-i-ti-ja	9	KN Ak,KN Ap,KN Dl,KN Dp,KN E,KN Ga,KN Le,KN Og	KN
qa-mo	9	KN Da,KN Db,KN Dg,KN Dn,KN Dv,KN Ga,KN Pp,KN Xd	KN
a-te-jo	9	KN Da,KN Db,KN Dc,KN De,KN Dl,KN Dv	KN
a3-mi-re-we	9	KN Dm	KN
ko-ru-to	9	KN Dv,PY Sh	KN,PY
i-jo	9	KN E,KN V,KN Xd,PY Mb	KN,PY
qe-te-o	9	KN Fh,KN L,TH Wu	KN,TH
o-na	9	KN Fh,KN M,KN Od,PY Ea,PY Eb,PY Ua	KN,PY
ko-u-ra	9	KN Lc,MY L,PY La	KN,MY,PY
re-u-ko-nu-ka	9	KN Ld	KN
ke-ra-ja-pi	9	KN Sd,KN Sf	KN
o-pi-i-ja-pi	9	KN Sd,KN Sf	KN
re-u-ko-to-ro	9	PY Ad,PY An,PY Ma,PY Na	PY
ti-mi-to	9	PY Cn,PY Ma	PY
a-ke-e	9	PY Cn,PY Ma	PY
ka-ma-e-u	9	PY Eb,PY Ep	PY
wa-na-se-wi-ja	9	PY Fr,PY Ta	PY
au-de-pi	9	PY Ta	PY
*63-te-ra-de	9	TH Gp	TH
te-o	8	KN Ai,KN Fh,KN M,PY Eb,PY Eo,PY Ep	KN,PY
e-ne-ka	8	KN Am,PY Ae,PY An,PY Ea	KN,PY
qa-si-re-wi-ja	8	KN As,KN K,PY Fn	KN,PY
mo-ro-qa	8	KN C,KN Xd,PY Aq,PY Jo	KN,PY
pu-na-so	8	KN C,KN Da,KN Dc,KN Dd,KN De,KN Dn,KN E	KN
pe-ri-qo-te-jo	8	KN Da,KN Db,KN De,KN Dv	KN
da-ra-ko	8	KN Db,KN Dd,KN Dk,KN Dv,KN X	KN
sa-qa-re-jo	8	KN Dl	KN
a-ko-ro	8	KN Dl,PY Fr,PY Ua,PY Vn	KN,PY
zo-a	8	KN Fh	KN
qe-ra-si-ja	8	KN Fp	KN
e-re-pa-te	8	KN Ra,KN Sd,PY Ta	KN,PY
po-ni-ki-ja	8	KN Sd,KN Se,KN Sf	KN
wa-na-ka	8	KN Vc,KN Vd,PY Na,PY Ta	KN,PY
ka-ra-do-ro	8	PY Ac,PY Cn,PY Jo,PY Ma,PY Na,PY Qa,PY Vn	PY
ke-re-te-u	8	PY Ea	PY
pe-ru-si-nu-wa	8	PY Ma,PY Ub	PY
e-re-u-te-ra	8	PY Na	PY
we-je-ke-a2	8	PY Sa	PY
to-no	8	PY Ta,PY Vn	PY
qo-u-ka-ra	8	PY Ta	PY
*56-ru-we	8	TH Gp	TH
do-de	8	TH Of	TH
ko-no-si-ja	7	KN As,KN Bg,KN Dv,KN E,KN X	KN
si-to	7	KN Am,MY Au,TH Av,TH Ft	KN,MY,TH
po-me	7	KN Am,KN Dd,PY Ae,PY Ea,PY Eo	KN,PY
a-ma	7	KN As,KN E,KN F	KN
wi-na-jo	7	KN Da,KN Db,KN Dv,KN Fh,KN K,KN X	KN
ko-ro	7	KN De,KN Od,KN X,PY Cn,PY Eq,TH Ft	KN,PY,TH
a-tu-ko	7	KN Dg,KN K,PY En,PY Eo,PY Ep,PY Jn	KN,PY
wa-na-ka-te	7	KN Ga,PY Fr,PY Un	KN,PY
e-ri-ka	7	KN So	KN
we-ke	7	KN X,PY Ta	KN,PY
ke-ke-me	7	KN Xd,PY Ea,PY Eb,PY Ep,TI Ef	KN,PY,TI
o-a-ke-re-se	7	PY Aq	PY
pa-da-je-u	7	PY Eb,PY Eo	PY
e-ko-to	7	PY Eb,PY En,PY Eo,PY Ep	PY
ru-*83-e	7	PY Eo	PY
sa-de	7	PY Na,PY Xn	PY
ti-ri-po	7	PY Ta	PY
ra-e-ja	7	PY Ta	PY
a-ko-da-mo	7	TH Av,TH Ft	TH
wa-to	6	KN C,KN Co,KN Np	KN
ko-no-si-jo	6	KN Am,KN As,KN B,KN V,KN Xd	KN
a-mi-ni-si-ja	6	KN Ai,KN E,KN Fh,KN Le	KN
me-u-jo-e	6	KN Ak	KN
a-no-qo-ta	6	KN Ak,KN Ap,KN Da,KN Dq,KN Vc,KN X	KN
a-ze-ti-ri-ja	6	KN Ap,KN E,KN M,KN Xe	KN
pu-te	6	KN As,KN Uf	KN
ri-zo	6	KN As,KN B,KN V,PY An	KN,PY
e-re-ta	6	KN As,KN C,PY An	KN,PY
a-to-mo	6	KN C,KN V,PY Aq,PY Jn,PY Jo	KN,PY
a-nu-ko	6	KN Ce,KN Db,KN Dc,KN Dk,KN Np	KN
ku-ka-ro	6	KN Da,KN Ra,KN V	KN
ma-ro	6	KN Dc,KN V,KN X,PY Cn	KN,PY
pe-ko	6	KN Dc,KN Dv,PY Cn	KN,PY
ki-to	6	KN Dk,KN Fs,KN L,KN Lc,PY Fn	KN,PY
po-ti-ni-ja-we-jo	6	KN Dl,PY Jn	KN,PY
*47-so-de	6	KN Fh	KN
ne-wo	6	KN Fh,KN Od,KN X,PY Fr,PY Jn	KN,PY
me-ri	6	KN Gg,KN Uc,PY Un	KN,PY
ku-ru-so	6	KN K,KN X,PY Ta	KN,PY
a-no-wo-to	6	KN K	KN
po-po	6	KN L,KN Ln,KN Od,KN Xe	KN
de-so-mo	6	KN Ra	KN
pi-ri-je-te	6	KN Ra	KN
a-ni-ja	6	KN Sd,PY Ub	KN,PY
ka-ke-u	6	KN V,PY An,PY Jn,PY Nn	KN,PY
po-ti-ro	6	KN V	KN
mi-ra	6	KN X,KN Xe,PY Eb,PY En,PY Eo,PY Ep	KN,PY
na-to	6	KN X,PY En,PY Ep,TH Ka	KN,PY,TH
qe-to-ro-po-pi	6	PY Ae	PY
i-je-re-u	6	PY An,PY Aq,PY Eo,PY Fn,PY Qa	PY
do-qe-ja	6	PY An	PY
wa-no-jo	6	PY Cn	PY
da-we-u-pi	6	PY Cn	PY
pe-to-no	6	PY Cn,PY Jn,PY Ma,PY Vn	PY
ka-na-pe-u	6	PY Cn,PY En,PY Eo	PY
su-qo-ta-o	6	PY Ea	PY
me-ri-te-wo	6	PY Ea	PY
wo-ze-qe	6	PY Eb,PY Ep	PY
pa-ki-ja-na	6	PY Eb,PY En,PY Eo,PY Na	PY
we-te-re-u	6	PY Eb,PY En,PY Eo,PY Ep	PY
a3-ti-jo-qe	6	PY Eo	PY
ro-u-si-jo	6	PY Fr,PY Ua,PY Un,PY Vn	PY
e-ma-a2	6	PY Na,PY Tn,PY Un,PY Xn,TH Of	PY,TH
de-de-me-no	6	PY Sa	PY
ke-re-si-jo	6	PY Ta	PY
ku-te-se-jo	6	PY Ta	PY
o-te	6	PY Ta,TH Fq	PY,TH
ko-ki-re-ja	6	PY Ta	PY
ka-si	6	TH Ft	TH
me-u-jo	5	KN Ak	KN
di-da-ka-re	5	KN Ak	KN
ra-jo	5	KN Am,KN B,KN Og,KN Xd,PY Eb	KN,PY
ko-ma-we-to	5	KN Ap,KN Dk,KN Dv,KN X	KN
wo-di-je-ja	5	KN Ap,MY V,PY Ub,PY Vn	KN,MY,PY
e-ra-ja	5	KN Ap,KN D,KN L,KN Lc	KN
au-ri-jo	5	KN As,KN Da,KN Dv,TH Ug	KN,TH
a-ko-ra-jo	5	KN As,KN Co,TH Wu	KN,TH
pa-na-re-jo	5	KN As,KN U,KN V,PY Fn	KN,PY
qa-ra-jo	5	KN As,KN E,KN Ga,KN Og,KN V	KN
ku-re-we	5	KN B,PY Cn,PY Ma	KN,PY
pa-te	5	KN B,KN Ra,PY An	KN,PY
ku-su-to-ro-qa	5	KN Bg,PY Ed,PY Er,TH Av	KN,PY,TH
a-pi-me-de-o	5	KN C,PY Cn,PY Eb,PY Ep	KN,PY
si-jo	5	KN Da,KN Gm,KN Sc,KN X	KN
su-ki-ri-ta	5	KN Db,KN Df,KN Dn,KN Dv	KN
si-ja-du-we	5	KN Dk,KN Dl	KN
ka-to-ro	5	KN Do,KN Dq,KN Ga,KN L	KN
a-ka-to	5	KN Dv,KN Sc,KN Xd,KN Xe,TH Ug	KN,TH
a-re	5	KN Fp,KN Mc,KN X,KN Xd,PY Cn	KN,PY
a-pi	5	KN G,PY Ep,PY Ta	KN,PY
ri-no	5	KN L,KN Np,KN Og,KN X,PY Nn	KN,PY
re-u-ko	5	KN L,PY Cn	KN,PY
pe-ko-to	5	KN L,KN Lc	KN
to-mi-ka	5	KN L	KN
o-re-ne-ja	5	KN L,KN Ld	KN
zo-wa	5	KN Nc,KN Ra,KN X,TH Av	KN,TH
wi-ri-ni-jo	5	KN Sd	KN
po-si	5	KN Sd	KN
e-te-do-mo	5	KN Uf,PY Ea,PY En,PY Eo,PY Ep	KN,PY
ko-do	5	KN Uf,PY Ea,PY Vn	KN,PY
wa-tu	5	KN V,KN X,PY Eq,PY Tn	KN,PY
wa-na-ta-jo	5	KN V,PY Eo,PY Ep,PY Jn	KN,PY
e-re-pa-to	5	KN V,PY Sa	KN,PY
ma-ra	5	KN Vc,KN Xd,PY Cn,PY Jn	KN,PY
re-u	5	KN X,PY Eb,PY Eo,PY Jn	KN,PY
a-to-po-qo	5	MY Au,PY An,PY Fn	MY,PY
a-te-re-wi-ja	5	PY Aa,PY An,PY Cn,PY Ma	PY
to-to	5	PY Aq	PY
we-to	5	PY Aq,PY Ma	PY
to-to-we-to	5	PY Aq	PY
a-ko-so-ta-o	5	PY Cn	PY
e-ko-me-no	5	PY Cn,PY Na	PY
a-ko-so-ta	5	PY Cn,PY Eq,PY Pn,PY Un,PY Va	PY
ra-wa-ra-ti-jo	5	PY Cn	PY
u-po-ra-ki-ri-ja	5	PY Cn	PY
qe-ta-ko	5	PY Cn,PY Jn	PY
we-re-ke	5	PY Cn	PY
pa-ki-ja-si	5	PY Cn,PY Tn,PY Un,PY Vn	PY
ru-ko-ro	5	PY Ea	PY
a3-ti-jo-qo	5	PY Eb,PY En,PY Eo,PY Ep	PY
e-ke-e	5	PY Eb,PY Ep,PY Ta	PY
ko-to-na-o	5	PY Eb,PY Ed,PY Ep,PY Wa	PY
o-na-ta	5	PY Eb,PY Ed	PY
ko-ri-si-ja	5	PY Eb,PY En,PY Eo,PY Ep	PY
pa-ra-ko	5	PY Eb,PY Eo,PY Ep	PY
ra-ku-ro	5	PY Eb,PY Eo,PY Ep	PY
to-na	5	PY Eb,PY Eo,PY Ep	PY
pa-da-je-we	5	PY Eb,PY Eo	PY
o-na-te-re	5	PY En	PY
pi-ke-re-we	5	PY Eo	PY
o-wi-de	5	PY Eq,PY Ta	PY
o-ro-jo	5	PY Eq	PY
ke-sa-da-ra	5	PY Fg,PY Mn,PY Xa	PY
