word	count	series	sites
ka-ru-ke	5	PY Fn,PY Un	PY
e-ti-we	5	PY Fr	PY
qe-te-jo	5	PY Fr,TH Gp,TH Wu	PY,TH
e-re-u-te-ro	5	PY Na	PY
da-mo-ko-ro	5	PY On,PY Ta	PY
e-ne-wo	5	PY Ta	PY
e-re-pa-te-ja-pi	5	PY Ta	PY
so-we-no-qe	5	PY Ta	PY
sa-pi-de	5	PY Vn	PY
pu-na-si-jo	4	KH Ar,KN B,KN Ga	KH,KN
ke-re-u	4	KN Ag,PY Ea,PY Ep	KN,PY
a-ke-ti-ri-ja	4	KN Ai,PY Aa	KN,PY
re-ja	4	KN Ai,KN L,PY Eb	KN,PY
qi-ri-ja-to	4	KN Ai,KN B	KN
da-te-we-ja	4	KN Ak,KN L,KN Lc,KN Xe	KN
qa-mi-ja	4	KN Ak,KN Ap,KN Lc,KN Le	KN
ri-jo-ni-ja	4	KN Ak,KN Lc,KN Le,KN Od	KN
ko-u-re-ja	4	KN Ak,KN Ap,KN Lc	KN
da-wi-ja	4	KN Ak,KN Lc,KN Le,KN Og	KN
da-wi-jo	4	KN Am,KN B,KN Ga,KN M	KN
e-te	4	KN Am,KN X,PY Va	KN,PY
ko-so	4	KN As,KN Dv,KN Wb,KN X	KN
qe-ro	4	KN As,KN Db,KN V	KN
a-ra-ko	4	KN As,KN C,KN Db,KN De	KN
mi-ru-ro	4	KN As,KN C,KN V	KN
qo-te-ro	4	KN As,KN Da,PY Ae,PY An	KN,PY
pu-to-ro	4	KN As,KN Da,PY Vn	KN,PY
ka-ke	4	KN As,KN Se,PY Jn,PY Na	KN,PY
ke-re	4	KN As,KN B	KN
da-wa-no	4	KN As,KN Ga,KN Mc	KN
to-ko	4	KN As	KN
wi-jo	4	KN As,KN Ra,PY Mb	KN,PY
a-te-mo	4	KN As,KN Dc,KN De	KN
e-u-na-wo	4	KN As,KN B,KN Dv,KN Np	KN
u-ra-jo	4	KN B,KN Db,KN Dv	KN
pu-ri	4	KN B,KN Ch,KN F,KN V	KN
u-ta-ni-jo	4	KN B,KN E,KN X	KN
i-jo-te	4	KN B,KN L,MY Au,PY An	KN,MY,PY
pu-si-jo	4	KN Bg,KN E,KN Og	KN
a-pu	4	KN Bg,KN G,PY Ta	KN,PY
a-pu-do	4	KN Bg,KN Fh,KN X	KN
wa-du-na-ro	4	KN C,KN Db,KN Dc,KN Dk	KN
pa-ta	4	KN C,KN Vc,MY L,PY Cn	KN,MY,PY
po-ro	4	KN Ca,KN Dd	KN
ro-ru	4	KN Ce,KN Dq,KN Fh	KN
te-wa-jo	4	KN Ce,KN Dl,KN Uf,PY Fn	KN,PY
ta-za-ro	4	KN Ch,KN Db,KN V	KN
ke-to	4	KN Da,PY Cn	KN,PY
e-u-ko-ro	4	KN Da,KN Db,KN Dd,KN V	KN
ke-ti-ro	4	KN Da,KN U,KN Xd,PY Jn	KN,PY
di-ro	4	KN Da,KN Db,KN Dc	KN
qa-na-no-to	4	KN Da,KN Db,KN Dv	KN
me-to-re	4	KN Da,KN Og,PY Na	KN,PY
a-ka-i-jo	4	KN De,KN F,KN Vc,KN Vd	KN
ku-do	4	KN Df,KN Fh,KN X	KN
a-si-wi-jo	4	KN Df,MY Au,PY Cn,PY Eq	KN,MY,PY
nu-ka	4	KN Dl,KN L,KN Ld	KN
qo-ta	4	KN Dl,KN V,PY Jn,PY Na	KN,PY
ni-ja	4	KN Dl,KN Fh,KN Np,KN X	KN
ma-sa	4	KN Dq,KN Ga,KN X	KN
te-ru-sa	4	KN Dv,TH Of	KN,TH
wo-no	4	KN Dv,KN X,PY Jo,PY Vn	KN,PY
i-je-ro	4	KN Dv,TH Wu	KN,TH
ra-wo	4	KN Dv,KN L,KN Le,KN Vc	KN
e-ko	4	KN Dv,KN Sc,KN So	KN
di-ka-ta-de	4	KN F,KN Fh,KN Fp,KN G	KN
pa-de	4	KN Fp,KN Fs,KN Ga	KN
ka-ra-e-ri-jo	4	KN Fp	KN
a-mi-ni-so-de	4	KN Fp,KN Ga	KN
ki-ri-te-wi-ja	4	KN Fp,PY An,PY Eb,PY Ep	KN,PY
ku-ta-ti-jo	4	KN Ga,KN X	KN
te-ra	4	KN Ga,PY Na	KN,PY
e-re-u-ti-ja	4	KN Gg,KN Od	KN
e-ni-qe	4	KN L	KN
pe-ne-we-ta	4	KN L,KN Ld	KN
te-we	4	KN L,KN Nc,KN V,KN X	KN
e-qe-si-jo	4	KN Lc,PY Ed,PY Sa	KN,PY
o-nu	4	KN Ld,KN Od,KN Xe	KN
o-nu-ke	4	KN Ln,KN M,KN Od,KN Ws	KN
de-de-me-na	4	KN Ra	KN
ka-si-ko-no	4	KN Ra	KN
ku-ru-me-no	4	KN Sc,PY Aq,TH Of	KN,PY,TH
ka-ro-qo	4	KN Sc,KN Xd,MY Au,PY Vn	KN,MY,PY
a-*64-jo	4	KN Sc,PY Cn,PY Fn,PY Jn	KN,PY
a-ra-ru-ja	4	KN Sd	KN
a-ni-ja-pi	4	KN Sd	KN
a-na-mo-to	4	KN Sf	KN
o-pa-wo-ta	4	KN Sk,PY Sh	KN,PY
de-do-me-na	4	KN So,KN U	KN
ka-pa-ri-jo	4	KN U,KN V,KN Vc	KN
i-wa-ka	4	KN Uf,KN V,PY Jn,PY Ub	KN,PY
o-u-te-mi	4	KN V	KN
su-ko	4	KN V,KN X,PY Eb,PY Ep	KN,PY
ru-ro	4	KN V,PY Aq,PY Jo	KN,PY
o-na-se-u	4	KN V,PY Jn	KN,PY
mi-ka-ta	4	KN Vc,PY An,PY Eb,PY Fn	KN,PY
ka-sa-to	4	KN Vc,MY Go,PY An,PY Jn	KN,MY,PY
do-ke	4	KN Wm,KN X,KN Xe	KN
ta-to-mo	4	KN Ws,PY Cn,PY Vn	KN,PY
o-ka	4	KN Xd,PY Es,PY Ub	KN,PY
a-ke	4	KN Xd,MY Ue,PY Tn	KN,MY,PY
na-su-to	4	MY Au	MY
de-mi-ni-ja	4	MY V,PY Un,PY Vn	MY,PY
tu-ka-te-qe	4	MY V	MY
ki-ra-qe	4	MY V	MY
o-wi-to-no	4	PY Aa,PY Ab,PY An,PY Aq	PY
tu-ra-te-u	4	PY Ae	PY
ro-o-wa	4	PY An,PY Mn,PY Nn	PY
qo-u-ko-ro	4	PY An,PY Nn,TI Ef	PY,TI
a-pi-jo-to	4	PY An	PY
e-sa-re-wi-ja	4	PY An,PY Ma,PY Vn	PY
ti-mi-ti-ja	4	PY Aq,PY Jo,PY Vn	PY
e-na-po-ro	4	PY Cn,PY Na,PY Nn,PY Vn	PY
a-ka-ma-wo	4	PY Cn,PY Jn	PY
se-no	4	PY Cn,PY Es	PY
a-we-ke-se-u	4	PY Cn,PY Jn	PY
a-ko-ro-we	4	PY Cn	PY
a2-pa-tu-wo-te	4	PY Cn	PY
o-re-e-wo	4	PY Cn	PY
a-ke-ro	4	PY Cn,PY Ea,PY Jo,PY Vn	PY
a-pi-a2-ro	4	PY Ea,PY Qa	PY
qo-qo-ta-o	4	PY Ea	PY
ta-ra-ma-ta	4	PY Ea,PY Vn	PY
po-me-ne	4	PY Ea,PY Nn	PY
e-to-ni-jo	4	PY Eb,PY Ep	PY
ka-pa-ti-ja	4	PY Eb,PY Ep,PY Un	PY
ke-me-na	4	PY Eb	PY
pe-ki-ta	4	PY En,PY Eo	PY
e-*65-to	4	PY En,PY Eo	PY
pi-ke-re-wo	4	PY En,PY Eo	PY
a-ma-ru-ta	4	PY Eo	PY
so-de	4	PY Eq,PY Fr	PY
do-e-ro-i	4	PY Fn	PY
wo-do-we	4	PY Fr	PY
wa-na-so-i	4	PY Fr	PY
qa-si-re-u	4	PY Jn,PY Jo	PY
au-ke-wa	4	PY Jo,PY Ta	PY
i-na-ma-ta	4	PY Ma	PY
si-re-wa	4	PY Ma,PY Mn	PY
a-pi-no-e-wi-jo	4	PY Mb,PY Nn,PY Vn	PY
o-u-di-do-to	4	PY Ng	PY
te-tu-ko-wo-a2	4	PY Sa	PY
za-ku-si-ja	4	PY Sa	PY
ta-na-wa	4	PY Sa	PY
no-pe-re-e	4	PY Sa	PY
qe-to-ro-we	4	PY Ta	PY
to-qi-de	4	PY Ta	PY
qe-qi-no-me-na	4	PY Ta	PY
te-ke	4	PY Ta	PY
a-mo-te-wi-ja	4	PY Ta	PY
ko-ro-no-we-sa	4	PY Ta	PY
ku-na-ja	4	PY Ta	PY
to-qi-de-we-sa	4	PY Ta	PY
ta-ra-nu-we	4	PY Ta,PY Vn	PY
i-je-to-qe	4	PY Tn	PY
qe-te-a2	4	PY Un,TH Wu	PY,TH
a-ko-so-ne	4	PY Va,PY Vn	PY
ma-ka	4	TH Fq,TH Gp,TH X	TH
e-pe-i-ja-o	4	TH Ug	TH
ku-do-ni-ja-de	3	KN L	KN
to-ro-wo	3	KN Ag,PY Vn,TH Gp	KN,PY,TH
di-ka	3	KN Ai,KN Sc,KN Xd	KN
si-ra-ko	3	KN Ai,KN B,KN Db	KN
a-mi-ni-si-jo	3	KN Am,KN Vc,KN X	KN
we-ke-i-ja	3	KN Am	KN
ko-pe-re-u	3	KN Am,PY Es	KN,PY
e-qe-ta	3	KN Am,KN B,PY Wa	KN,PY
ne-o	3	KN Ap,KN V,PY Es	KN,PY
ka-ra-we	3	KN Ap	KN
ka-mo	3	KN As,KN Db,KN Dq	KN
u-ta	3	KN As,KN Dv,KN X	KN
ta-ta-ro	3	KN As,PY Eo,PY Ep	KN,PY
o-pi-si-jo	3	KN As,PY Jn	KN,PY
du-to	3	KN As,KN Dc	KN
du-ru-po	3	KN As,KN Fh	KN
ti-qa-jo	3	KN As,PY Eo,PY Jn	KN,PY
i-to	3	KN As,KN D,KN Dq	KN
di-zo	3	KN As,KN V	KN
pi-ma-na-ro	3	KN As,KN V	KN
a-*56-no	3	KN As,KN C,KN Dv	KN
o-ku	3	KN As,KN Da,KN Dl	KN
i-se-we-ri-jo	3	KN B,KN L,KN X	KN
pa-no	3	KN B,KN X,KN Xd	KN
o-pe	3	KN B,KN Nc,KN X	KN
a-pe-o-te	3	KN B,KN Bg	KN
po-ku	3	KN B,KN C	KN
pa-qo-si-jo	3	KN B,PY Jn	KN,PY
do-ti-jo	3	KN B,KN Dl,KN V	KN
si-ra-ro	3	KN C,KN Co	KN
wo-we-u	3	KN C,KN Uf,PY Ae	KN,PY
te-re	3	KN C,PY Mn,PY Xa	KN,PY
ko-to	3	KN C,KN Vd,PY Ep	KN,PY
ko-ma-we-te	3	KN C,PY Cn	KN,PY
a-pi-qo-ta	3	KN C,PY Jn	KN,PY
ka-ta	3	KN C,KN V,PY Ep	KN,PY
pe-re-qo-ta	3	KN Ce,PY Eb,PY En	KN,PY
re-u-ka-ta	3	KN Ce,PY Jn	KN,PY
e-po	3	KN Ce,KN Ws,PY Vn	KN,PY
ni-to	3	KN Ch,KN D,KN Dq	KN
a-ko-ra-ja	3	KN Co	KN
a-di-je-wo	3	KN D	KN
ko-we	3	KN D,KN Ws,KN X	KN
ri-wi-so	3	KN Da,KN Dv,KN Ga	KN
ne-u	3	KN Da,KN Vc,PY Jn	KN,PY
te-ra-po-si-jo	3	KN Da,KN Db,KN Lc	KN
a-nu-mo	3	KN Da,KN De,KN V	KN
te-u	3	KN Da,KN X	KN
a-wa-so	3	KN Db,KN Mc	KN
ra-so	3	KN Db,KN X,PY Ep	KN,PY
na-pu-ti-jo	3	KN Db,PY Jn	KN,PY
de-ke-se-u	3	KN Db,KN Df	KN
da-*22	3	KN Db,KN Dq,KN X	KN
po-ro-u-te-u	3	KN Dc,PY Jn	KN,PY
da-*83-jo	3	KN Dc,KN V,KN Vc	KN
e-ke-me-de	3	KN Dd,KN U,PY Jo	KN,PY
qa-ra-su-ti-jo	3	KN Dd,KN Nc,KN Xd	KN
o-na-jo	3	KN Dd,KN E,PY Jn	KN,PY
a-ko-mo-ni-jo	3	KN De,KN Dk	KN
si-ta-ro	3	KN De,KN Dg,KN X	KN
ta-u-na-so	3	KN De,KN Dv,KN Ga	KN
qe-da-do-ro	3	KN De,KN Uf,TH Gp	KN,TH
ta-de-so	3	KN De,KN Df,KN V	KN
a-ke-u	3	KN De,KN Dv,KN V	KN
a-ra-si-jo	3	KN Df,KN Fh,KN X	KN
e-to	3	KN Dh,KN Xe,PY Va	KN,PY
si-da-jo	3	KN Dl,KN Nc,KN Od	KN
ma-ri	3	KN Dl,KN Ga	KN
pa-re	3	KN Dl,KN Sc	KN
ta-o	3	KN Dq,PY Cn	KN,PY
do-ro	3	KN Dv,KN X,PY Wa	KN,PY
di-wo	3	KN Dv,KN E,PY Tn	KN,PY
ti-jo	3	KN Dv,KN L,KN V	KN
te-jo	3	KN Dv,KN L,KN X	KN
tu-ri-si-jo	3	KN E,KN Og	KN
ra-ti-jo	3	KN E,KN X	KN
te-o-i	3	KN E,PY Fr	KN,PY
e-me-si-jo-jo	3	KN E,KN Lc,KN X	KN
pa-na-so	3	KN E,KN Uf,KN X	KN
di-we	3	KN F,KN Fp,PY Tn	KN,PY
ta-pa-no	3	KN F,KN Sc,KN X	KN
su-za	3	KN F,KN Gv	KN
ke-ki	3	KN F,PY Jn	KN,PY
a3-ki-pa-ta	3	KN Fh,PY Ae	KN,PY
si-ja	3	KN Fh,KN L,KN Xe	KN
e-to-wo-ko	3	KN Fh,PY An,PY Fn	KN,PY
wa-ja	3	KN Fh,KN L,PY Xn	KN,PY
wo-de-wi-jo	3	KN Fp,KN V	KN
do-si	3	KN Ga,KN X	KN
ku-pa-ro	3	KN Ga	KN
ki-ta-no	3	KN Ga,KN X	KN
o-ne	3	KN Gg	KN
re-u-ka	3	KN L,KN Ld,KN U	KN
sa-mu-ta-jo	3	KN L,PY Jn,PY Vn	KN,PY
ri-ta	3	KN L	KN
e-me	3	KN L,PY Ta	KN,PY
to-u-ka	3	KN Lc	KN
ta-ra-si	3	KN Lc,PY Jn	KN,PY
e-pi-qe	3	KN Lc,PY Eb,PY Ep	KN,PY
ne-ja	3	KN Lc,KN X,PY Xa	KN,PY
ke-se-nu-wi-ja	3	KN Ld	KN
o-nu-ka	3	KN Ld,KN Od	KN
e-ru-ta-ra-pi	3	KN Ld	KN
ti-ri	3	KN Ld,KN X	KN
wi-ri-za	3	KN Od,PY Un	KN,PY
ka-ka	3	KN R,TH Of	KN,TH
pa-ka	3	KN Ra,KN V	KN
me-nu-wa	3	KN Sc,KN V,KN Xd	KN
a-ko-to	3	KN Sc,KN Xd	KN
pa-wa-wo	3	KN Sc,PY Cn,PY Vn	KN,PY
i-qo-e-qe	3	KN Sd	KN
we-jo	3	KN Sd,PY Eq,PY Xn	KN,PY
mi-to-we-sa	3	KN Sd	KN
qi-ja	3	KN Sd,KN Sf	KN
u-po	3	KN Sd,PY Ub	KN,PY
a-na-to	3	KN Sf,KN Sg	KN
na-u-do-mo	3	KN U,PY Na,PY Vn	KN,PY
a-nu	3	KN U,KN V	KN
po-ru-da-si-jo	3	KN V,PY An,PY Aq	KN,PY
na-e-si-jo	3	KN V,PY Jn,TH Av	KN,PY,TH
pe-ri-to-wo	3	KN V,KN Vc,KN X	KN
da-*22-ti-ja	3	KN V,KN Xe	KN
zo-wi-jo	3	KN V,PY Cn	KN,PY
e-u-po-ro-wo	3	KN V,PY Jn	KN,PY
pe-re-ta	3	KN V,PY Jn	KN,PY
o-ko-te	3	KN Vc,KN Vd,KN Xd	KN
pa-pa-ro	3	KN Vc,KN Xd,PY Cn	KN,PY
me-sa-to	3	KN Wm	KN
pa-ta-ja	3	KN Ws	KN
ka-ta-no	3	KN X,PY Eb,PY Ep	KN,PY
sa-ma	3	KN X,PY On	KN,PY
di-wi-ja	3	KN Xd,PY An,TH Gp	KN,PY,TH
a-ti	3	KN Xd,PY Fn,PY Vn	KN,PY
ri-so-wa	3	KN Xd,PY An,PY Aq	KN,PY
e-zo-wo	3	KN Xe,PY Cn	KN,PY
po-me-no	3	KN Xe,PY Ea	KN,PY
ku-ri-sa-to	3	KN Xf,PY Cn,PY Jn	KN,PY
te-ra-wo	3	MY Au	MY
ke-re-no	3	MY Au,PY Cn	MY,PY
mo-i-da	3	MY Au	MY
a-ne-a2	3	MY Fo,MY V	MY
ma-no	3	MY Fo,MY V	MY
a-ke-ti-ri-ja-i	3	MY Fo,PY Fn,PY Un	MY,PY
pa-ke-te-re	3	MY Ue,PY Vn,PY Wr	MY,PY
ko-na	3	MY Ue,PY Ep,TH X	MY,PY,TH
a3-so-ni-jo	3	MY Ui,PY Jn	MY,PY
po-to-ro-wa-pi	3	PY Aa,PY La,PY Na	PY
a-ra-ka-te-ja	3	PY Aa,TH Of	PY,TH
ke-re-za	3	PY Aa,PY Ab	PY
re-wo-to-ro-ko-wo	3	PY Aa,PY Ab,PY Ad	PY
du-ni-jo-jo	3	PY Ae	PY
me-tu-ra	3	PY Ae	PY
su-ra-se	3	PY Ae	PY
i-*65	3	PY Ae,PY An,PY Aq	PY
pe-re-ke-we	3	PY Ae,TH Oh	PY,TH
po-ra-pi	3	PY An,PY Mn,PY Nn	PY
pu-ka-wo	3	PY An	PY
o-pi-te-u-ke-e-we	3	PY An,PY Fn	PY
pu-ko-ro	3	PY An,PY Fn,PY Jn	PY
me-nu-a2	3	PY An,PY Aq,PY Qa	PY
ma-ra-te-u	3	PY An,PY Aq,PY Cn	PY
tu-ru-we-u	3	PY An,PY Cn	PY
a-ke-re-se	3	PY Aq	PY
ne-qe-u	3	PY Aq,PY Jn,PY Qa	PY
e-ru-ta-ra	3	PY Aq,PY Ub	PY
a-ke-o	3	PY Cc,PY Mb,PY Xa	PY
me-za-na	3	PY Cn,PY Sh	PY
e-re-u-te-re	3	PY Cn,PY Wa	PY
a-ko-to-wo	3	PY Cn,PY Jn	PY
ka-ra-u-ko	3	PY Cn,PY Jn	PY
ra-ma-jo	3	PY Cn,PY Jn	PY
a-ka-na-jo	3	PY Cn	PY
o-ko	3	PY Cn,PY Eb,PY Ep	PY
i-ma-di-jo	3	PY Cn,PY Ea,PY Jn	PY
e-ra-te-re-wa-pi	3	PY Cn,PY Jn,PY Vn	PY
re-qa-se-wo	3	PY Cn	PY
ti-ri-da-ro	3	PY Ea	PY
e-ka-ra	3	PY Ea,PY Ta	PY
o-ke-u	3	PY Ea	PY
wo-ze	3	PY Ea,PY Ep	PY
ra-wa-ke-si-jo-jo	3	PY Ea	PY
e-u-me-ne	3	PY Ea,PY Jn	PY
e-u-me-de	3	PY Ea	PY
mo-ro-qo-ro-jo	3	PY Ea	PY
a-no-no	3	PY Ea,PY Eb,PY Ep	PY
a-re-po-zo-o	3	PY Ea,PY Fg	PY
ke-ke	3	PY Eb	PY
ke-qe	3	PY Eb,PY Ep	PY
ke-ke-me-na-o	3	PY Eb,PY Ed,PY Ep	PY
du-wo-u-pi	3	PY Eb,PY Ep	PY
do-e	3	PY Eb,PY En	PY
a-da-ma-o	3	PY Eb,PY Ep,PY Jn	PY
ra-su-ro	3	PY Eb,PY En,PY Ep	PY
te-te-re-u	3	PY Eb,PY Ep,PY Jn	PY
ki-ti-me	3	PY En,PY Eo	PY
ke-ra-me-wo	3	PY En,PY Eo	PY
pe-qo-ta	3	PY En,PY Eo	PY
po-so-re-ja	3	PY Eo,PY Ep	PY
o-po-ro-me-no	3	PY Es	PY
a3-ki-wa-ro	3	PY Es	PY
pi-ro-ta-wo	3	PY Es	PY
we-da-ne-we	3	PY Es	PY
pi-ri	3	PY Fn,PY Ua,TH Gp	PY,TH
we-ja-re-pe	3	PY Fr	PY
we-a-re-pe	3	PY Fr	PY
pa-ki-ja-na-de	3	PY Fr,PY Vn	PY
di-pi-si-jo-i	3	PY Fr	PY
a-ro-pa	3	PY Fr	PY
jo-i	3	PY Fr,TH Gp	PY,TH
mo-re-u	3	PY Jn	PY
a-e-ri-qo	3	PY Jn,TH Wu	PY,TH
po-so-ro	3	PY Jn	PY
ma-no-u-ro	3	PY Jn	PY
na-i-se-wi-jo	3	PY Jn,PY Mn	PY
ko-re-te-re	3	PY Jn,PY Na,PY Xn	PY
pa-ki-ja-pi	3	PY Jn,PY Ma	PY
do-si-mi-ja	3	PY Ma	PY
sa-ma-ra	3	PY Ma,PY Wa	PY
a3-me-wa	3	PY Mb,PY Vn,PY Xa	PY
me-te-to	3	PY Mn,PY Na,PY Vn	PY
e-wi-te-wi-jo	3	PY Mn,PY Na,PY Vn	PY
e-re-u-te-ro-se	3	PY Na	PY
ko-ro-ku-ra-i-jo	3	PY Na	PY
re-u-te-ra	3	PY Na	PY
pe-re-wo-te	3	PY Na,PY Xa	PY
e-sa-re-u	3	PY Na	PY
e-po-me-ne-we	3	PY Na,PY Vn,PY Xn	PY
a-me-ja-to	3	PY Sa,PY Sh	PY
o-pi-ke-re-mi-ni-ja	3	PY Ta	PY
e-ka-ma-pi	3	PY Ta	PY
e-ne-wo-pe-za	3	PY Ta	PY
e-re-pa-te-ja	3	PY Ta	PY
ku-ru-so-qe	3	PY Ta	PY
wa-o	3	PY Ta,TH Ug	PY,TH
do-ra-qe	3	PY Tn	PY
po-re-na-qe	3	PY Tn	PY
pe-re-*82	3	PY Tn,PY Un	PY
a-pe-ne-wo	3	PY Ub	PY
au-ke-i-ja-te-we	3	PY Ub	PY
e-pi-*19-ta	3	PY Vn,TH Wu	PY,TH
ka-pi-ni-ja	3	PY Vn	PY
e-pe-to-i	3	TH Gp	TH
a-ra-o	3	TH Gp	TH
ma-ri-ne-we-ja-i	3	TH Of	TH
po-re-si	3	TH Of	TH
di-u-ja-wo	3	TH Of	TH
te-qa-de	3	TH Wu	TH
ku-do-ni-jo	2	KN Gg	KN
ka-ta-ra-i	2	KN Co	KN
di-wi-jo	2	KH Gq,PY Mb	KH,PY
di-wo-nu-so	2	KH Gq,PY Xa	KH,PY
ko-no-so-de	2	KN C	KN
pe-re-ko	2	KN Ag,KN Xe	KN
e-e-si	2	KN Ai,KN Sd	KN
we-ka-sa	2	KN Ai,TH Gp	KN,TH
to-te-ja	2	KN Ak	KN
ke-ja	2	KN Ak,KN Xd	KN
a-no-zo-jo	2	KN Ak	KN
ne-ki-ri-de	2	KN Ak,KN Ln	KN
e-so-to	2	KN Am	KN
a-mo-ra-ma	2	KN Am	KN
ki-ta-ne-to	2	KN Am,KN Da	KN
e-ki-si-jo	2	KN Am,KN B	KN
a-pa-ta-wa-jo	2	KN Am	KN
si-mi-te-u	2	KN Am,TH Av	KN,TH
a-*79	2	KN Ap,MY Oe	KN,MY
tu-zo	2	KN Ap,KN C	KN
ku-tu-qa-no	2	KN Ap,KN Da	KN
tu-ka-na	2	KN Ap	KN
i-ta-ja	2	KN Ap,KN Xe	KN
ti-no	2	KN Ap,PY An	KN,PY
te-qa-ja	2	KN Ap,PY Ep	KN,PY
di-ka-ta-ro	2	KN As,KN Dd	KN
no-si-ro	2	KN As,KN Ln	KN
ma-di	2	KN As,KN Db	KN
wi-na-to	2	KN As	KN
ni-jo	2	KN As,KN Dq	KN
i-ne-u	2	KN As,KN Xd	KN
pa-ta-u-na	2	KN As	KN
ta-so	2	KN As,KN Dv	KN
ko-me-no	2	KN As,KN B	KN
re-po-so	2	KN As,KN Xe	KN
no-da-ro	2	KN As,KN Dc	KN
sa-ma-ri-wa-ta	2	KN As,KN Dv	KN
po-to	2	KN As,KN Dv	KN
u-ra-mo-no	2	KN As,KN Da	KN
ka-ri-se-u	2	KN As,PY Jn	KN,PY
a3-ko-ta	2	KN As,PY Aq	KN,PY
ru-na	2	KN As,PY Un	KN,PY
pu-wo	2	KN As,KN C	KN
pa-ti	2	KN As,KN Dd	KN
wi-ja-ma-ro	2	KN As,KN Da	KN
wi-ra-ne-to	2	KN As,KN Dv	KN
e-ru-to-ro	2	KN As,KN Dk	KN
ke-ka-to	2	KN As,PY Pn	KN,PY
e-sa-re-we	2	KN As,PY Cn	KN,PY
a3-ni-jo	2	KN As,TH Gp	KN,TH
wi-ja	2	KN As	KN
we-e	2	KN As,KN D	KN
qa-ti-ja	2	KN As,KN Fh	KN
a-ta-no	2	KN As,KN Vc	KN
ke-sa-do-ro	2	KN As,PY Vn	KN,PY
sa-zo	2	KN As,KN Dv	KN
ze-ro	2	KN As,KN Da	KN
ku-ka-so	2	KN As,KN V	KN
wa-je	2	KN As,KN V	KN
o-du	2	KN As,KN V	KN
me-ri-to	2	KN As,PY Un	KN,PY
ma-jo	2	KN As,KN Dv	KN
ra-ni	2	KN B,KN X	KN
